TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
AARTIIND,139,41,23,3,297,816,48,257,18,121,255,390.75,2025-03-28
AARTIIND,-142,23,65,8,329,447,-8,16,-5,103,178,391.15,2025-04-01
AARTIIND,-553,117,64,17,601,-103,46,16,-3,438,706,400.8,2025-04-02
AARTIIND,274,13,1,5,-98,88,-105,20,6,-256,96,398.45,2025-04-03
ABB,-729,93,17,4,961,325,107,281,20,256,105,5546.1,2025-03-28
ABB,-108,32,4,0,213,278,76,-82,26,342,48,5398.9,2025-04-01
ABB,971,145,218,0,535,631,-21,-104,-2,857,392,5313.15,2025-04-02
ABB,378,124,35,0,437,209,11,3,3,108,15,5327.8,2025-04-03
ABCAPITAL,265,53,104,10,268,161,51,143,58,176,161,185.05,2025-03-28
ABCAPITAL,7,46,10,12,87,203,11,44,6,159,188,184.05,2025-04-01
ABCAPITAL,578,56,-51,-4,313,305,15,21,3,311,9,190.15,2025-04-02
ABCAPITAL,-126,77,-24,27,91,100,22,11,5,186,47,193.35,2025-04-03
ABFRL,236,26,44,23,256,110,110,120,20,235,65,256.25,2025-03-28
ABFRL,-238,4,15,0,286,113,-29,18,0,58,18,258.2,2025-04-01
ABFRL,-240,-126,-9,1,259,41,46,-3,1,-13,-3,261.25,2025-04-02
ABFRL,-10,-74,-8,0,116,-10,57,-30,9,42,-29,264,2025-04-03
ACC,-254,75,28,143,398,276,79,62,37,130,340,1942.75,2025-03-28
ACC,-337,6,-23,-1,54,38,12,-11,-12,140,52,1952.15,2025-04-01
ACC,-223,-43,-24,-1,32,131,7,5,2,100,164,1963.9,2025-04-02
ACC,-122,-41,-177,-61,-10,159,40,2,-3,136,38,1994.8,2025-04-03
ADANIENSOL,247,-276,286,-2,485,187,64,132,,292,5,871.95,2025-03-28
ADANIENSOL,-95,-12,-25,5,-30,-54,38,36,,340,397,866.35,2025-04-01
ADANIENSOL,-124,6,77,12,246,152,-27,2,,57,28,867.9,2025-04-02
